timestamp,event_id,account,process_name,group_name,privileged_logon,admin_group_touch,suspicious_process,time_bucket,burst_count,severity
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,1,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,2,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,3,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,4,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,5,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,6,medium
3/12/21 10:48,4799,Administrator,esentutl.exe,Backup Operators,1,1,0,day,1,high
3/12/21 10:48,4799,Administrator,esentutl.exe,Administrators,1,1,0,day,2,high
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,7,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,8,medium
3/12/21 10:48,4688,-,vssvc.exe,,0,1,0,day,1,medium
3/12/21 10:48,4672,SYSTEM,,,1,0,0,day,1,medium
3/12/21 10:48,4624,SYSTEM,services.exe,,0,0,0,day,1,low
3/12/21 10:48,4688,-,esentutl.exe,,0,1,0,day,2,medium
3/12/21 10:48,4688,-,cmd.exe,,0,1,0,day,3,medium
3/12/21 10:48,4688,-,cmd.exe,,0,1,0,day,4,medium
3/12/21 10:48,4688,-,reg.exe,,0,1,0,day,5,medium
3/12/21 10:48,4688,-,reg.exe,,0,1,0,day,6,medium
3/12/21 10:48,4688,-,reg.exe,,0,1,0,day,7,medium
3/12/21 10:48,4688,-,cmd.exe,,0,1,0,day,8,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,9,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,10,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,11,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,12,medium
3/12/21 10:48,4799,Administrator,esentutl.exe,Backup Operators,1,1,0,day,3,high
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,13,medium
3/12/21 10:48,4799,Administrator,esentutl.exe,Administrators,1,1,0,day,4,high
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,14,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,15,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,16,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,17,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,18,medium
3/12/21 10:48,4799,Administrator,esentutl.exe,Backup Operators,1,1,0,day,5,high
3/12/21 10:48,4799,Administrator,esentutl.exe,Administrators,1,1,0,day,6,high
3/12/21 10:48,4799,Administrator,esentutl.exe,Backup Operators,1,1,0,day,7,high
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,19,medium
3/12/21 10:48,4799,Administrator,esentutl.exe,Administrators,1,1,0,day,8,high
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,20,medium
3/12/21 10:48,4799,Administrator,esentutl.exe,Backup Operators,1,1,0,day,9,high
3/12/21 10:48,4799,Administrator,esentutl.exe,Administrators,1,1,0,day,10,high
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,21,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,22,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,23,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,24,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,25,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,26,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Backup Operators,0,1,0,day,27,medium
3/12/21 10:48,4799,WIN-DC-725$,vssvc.exe,Administrators,0,1,0,day,28,medium
